sortie_num,td_timestamp,Name,Pilot,td_longitude,td_latitude,CAS_kt,AGL_ft,VS_fpm,vert_Acc_fpm2,vert_Jerk_fpm3
1,02:25:27.795968,F-16C_50,< 404C > Ghost,55.6078609,24.2515391,150.631332397461,7.5884443493652505,-388.80097732543896,1611.1807250923953,121649.55139685498
1,02:52:04.594445,F-16C_50,< 404C > Dragon 5,55.6079736,24.2523872,129.0284881591796,5.864521524658186,-369.67346267700145,3782.8504944057017,4140415.87690814
1,02:57:28.394137,F-16C_50,< 404C > Phoenix,55.6079327,24.2519986,188.7450866699218,6.802326329956063,-144.76897354125964,3462.9745445117087,74077.05079588426
1,03:00:14.493978,F-16C_50,< 404C > IR.shadow,55.6072151,24.2462196,145.2405395507812,7.308149196167001,-683.8206634521484,10296.0575866322,1901517.6544448978
2,03:08:38.693497,F-16C_50,< 404C > Ghost,55.6076194,24.2498028,138.9172668457032,6.664006003417969,-157.75994415283202,1395.8159637400665,2795777.0233134725
1,03:20:37.592812,F-16C_50,< 404C > Mustang,55.6070078,24.2454395,136.7388153076172,6.337754259643563,-676.9752479553217,3299.8567199889967,4330724.0295864185
1,03:26:14.892490,F-16C_50,< 404 > D1CE,55.6071996,24.2461885,175.6604614257812,7.389749678344717,-160.45425643920908,4865.98205564636,72178.73382516752
1,03:27:23.792424,F-16C_50,HoneyBadger,55.6082308,24.2537636,153.8575134277344,7.022247138671875,-123.34663772582996,1521.069946297362,1832044.4390751256
1,03:27:39.592409,F-16C_50,< 404 > Aria,55.6081605,24.2529644,158.8190612792968,5.392790639038094,-426.24200592040916,2659.1690826562726,6135733.039907445
2,03:40:12.791691,F-16C_50,< 404C > IR.shadow,55.6070519,24.2455484,139.6151123046876,7.596754582519531,-625.9605323791499,9579.676895106928,457672.6455927065
2,03:43:18.191514,F-16C_50,< 404C > Phoenix,55.6076501,24.250249,137.7987976074218,6.805229905395499,-158.1203872680664,2530.3106689361107,1759322.845446182
2,03:56:37.990751,F-16C_50,< 404C > Mustang,55.6070642,24.2462482,144.0619354248046,6.595922165527344,-418.61262664795015,490.2026367214182,1782303.2648427407
